,,Size,Original_Mean,Pix_min,Pix_max,PixelNum Mask,Mean,Median,Minimum,Maximum,Variance,Skewness,Kurtosis,Energy,Entropy,IDM,Contrast,Correlation,Percentage,Type
7,out/7LabelMapVolume_2out.nrrd,"(512, 512, 1)",117.0761108,0,860,2022,250.6181998,251,165,347,835.1203018,0.103309765,2.852783779,0.103187182,3.725052904,0.776211146,0.504779592,0.815084374,1.915011186,Normal
7,out/7LabelMapVolume_3out.nrrd,"(512, 512, 1)",117.0761108,0,860,2023,240.1997034,237,159,533,1224.231003,3.128717547,21.08133935,0.126433511,3.738274009,0.744859121,0.824305326,0.798588545,0.715871459,Normal
7,out/7LabelMapVolume_4out.nrrd,"(512, 512, 1)",117.0761108,0,860,2021,281.0247402,265,144,645,4837.734173,2.274716214,9.888439393,0.060324318,5.025580098,0.676290146,1.363196681,0.914226837,1.452327317,Normal
7,out/7LabelMapVolume_5out.nrrd,"(512, 512, 1)",117.0761108,0,860,2024,263.7791502,258.5,174,414,1768.147372,0.321479198,2.372139172,0.063700868,4.369245708,0.750676198,0.625908211,0.892377882,1.513708853,Normal
7,out/7LabelMapVolume_6out.nrrd,"(512, 512, 1)",117.0761108,0,860,2022,360.553907,356,255,556,1577.842544,0.555965929,3.727890271,0.069309124,4.355774411,0.736615483,0.73071509,0.857486223,1.379902747,Normal
7,out/7LabelMapVolume_7out.nrrd,"(512, 512, 1)",117.0761108,0,860,2021,239.0786739,247,47,467,2678.384211,-0.517845624,4.575959955,0.050370421,4.888321788,0.682419901,0.992049436,0.883463916,2.065514213,Normal
7,out/7LabelMapVolume_8out.nrrd,"(512, 512, 1)",117.0761108,0,860,2022,254.7388724,256,56,454,4074.843781,-0.087520097,4.068209793,0.040580658,5.308340187,0.652228575,1.18174333,0.90874716,2.307320745,Normal
8,out/8LabelMapVolume_1out.nrrd,"(256, 256, 1)",96.57841492,0,1017,274,96.12408759,94.5,68,165,162.7145293,1.238335695,6.964380156,0.342974155,2.156607768,0.849591511,0.341761105,0.473866789,2.33783556,Normal
8,out/8LabelMapVolume_2out.nrrd,"(256, 256, 1)",96.57841492,0,1017,274,85.81751825,85,51,113,126.3097661,0.113682708,2.684431117,0.360979237,2.076358087,0.856638345,0.286723311,0.492408433,0.480152245,Normal
8,out/8LabelMapVolume_3out.nrrd,"(256, 256, 1)",96.57841492,0,1017,274,82.84306569,79,44,172,446.8038388,1.701776972,6.709455119,0.201974671,2.941433779,0.771121902,0.619070532,0.603392564,0.249822542,Normal
8,out/8LabelMapVolume_4out.nrrd,"(256, 256, 1)",96.57841492,0,1017,274,117.1167883,115,65,174,283.7746817,0.35514332,3.269129989,0.258212404,2.566125019,0.841646903,0.365063352,0.58748159,1.509568328,Normal
